torch.compile disabled in this fork runtime path.
Using PyTorch SDPA attention backend.
GPU: NVIDIA GeForce RTX 4060 Ti
GPU VRAM: 16.0 GB
GPU CC: 8.9
GPU profile: ada-10-15gb
Consumer matrix support: yes
TF32: enabled
AMP dtype: torch.bfloat16
Vocab size: 8,192
Dataset: fineweb-edu
Muon compute dtype: torch.bfloat16 (matching AMP dtype)
Using cached autotune candidate: batch_size=8, checkpointing=on.
Attention backend: sdpa
torch.compile: disabled
Trying train candidate: batch_size=8, activation_checkpointing=enabled
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 4, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 256, 'window_pattern': 'SSSL', 'attention_backend': 'sdpa', 'use_activation_checkpointing': True, 'compute_dtype': torch.bfloat16, 'num_experts': 4, 'top_k_experts': 2, 'num_shared_experts': 1, 'expert_dim': 0, 'mhc_expansion': 2}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 4,194,304
  lm_head                 : 2,097,152
  transformer_matrices    : 5,255,476
  scalars                 : 8
  moe_router              : 4,096
  moe_experts             : 2,097,152
  moe_shared              : 2,097,152
  total                   : 13,644,092
Estimated FLOPs per token: 5.984441e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 3000s
Gradient accumulation steps: 32

step 00000 (0.0%) | loss: 15.564512 | lrm: 1.00 | dt: 5973ms | tok/sec: 87,781 | mfu: 5.9% | epoch: 1 | remaining: 3000s    
step 00001 (0.0%) | loss: 15.564681 | lrm: 1.00 | dt: 5677ms | tok/sec: 92,351 | mfu: 6.3% | epoch: 1 | remaining: 3000s    
step 00002 (0.0%) | loss: 15.589953 | lrm: 1.00 | dt: 5800ms | tok/sec: 90,399 | mfu: 6.1% | epoch: 1 | remaining: 3000s    
step 00003 (0.0%) | loss: 15.195741 | lrm: 1.00 | dt: 5928ms | tok/sec: 88,436 | mfu: 6.0% | epoch: 1 | remaining: 3000s    
step 00004 (0.0%) | loss: 14.593418 | lrm: 1.00 | dt: 6037ms | tok/sec: 86,845 | mfu: 5.9% | epoch: 1 | remaining: 3000s    
step 00005 (0.0%) | loss: 13.832239 | lrm: 1.00 | dt: 6057ms | tok/sec: 86,561 | mfu: 5.9% | epoch: 1 | remaining: 3000s    
step 00006 (0.0%) | loss: 12.967300 | lrm: 1.00 | dt: 6151ms | tok/sec: 85,234 | mfu: 5.8% | epoch: 1 | remaining: 3000s    
step 00007 (0.0%) | loss: 12.741461 | lrm: 1.00 | dt: 6147ms | tok/sec: 85,285 | mfu: 5.8% | epoch: 1 | remaining: 3000s    
step 00008 (0.0%) | loss: 12.479944 | lrm: 1.00 | dt: 6151ms | tok/sec: 85,241 | mfu: 5.8% | epoch: 1 | remaining: 3000s    
step 00009 (0.0%) | loss: 12.230542 | lrm: 1.00 | dt: 6112ms | tok/sec: 85,779 | mfu: 5.8% | epoch: 1 | remaining: 3000s    
step 00010 (0.0%) | loss: 11.988004 | lrm: 1.00 | dt: 6137ms | tok/sec: 85,432 | mfu: 5.8% | epoch: 1 | remaining: 3000s    
step 00011 (0.0%) | loss: 11.764614 | lrm: 1.00 | dt: 6109ms | tok/sec: 85,816 | mfu: 5.8% | epoch: 1 | remaining: 2994s    
step 00012 (0.2%) | loss: 11.984340 | lrm: 1.00 | dt: 6123ms | tok/sec: 85,625 | mfu: 5.8% | epoch: 1 | remaining: 2988s    
step 00013 (0.4%) | loss: 12.135937 | lrm: 1.00 | dt: 6106ms | tok/sec: 85,865 | mfu: 5.8% | epoch: 1 | remaining: 2982s    
step 00014 (0.6%) | loss: 12.240814 | lrm: 1.00 | dt: 6116ms | tok/sec: 85,727 | mfu: 5.8% | epoch: 1 | remaining: 2976s    
step 00015 (0.8%) | loss: 12.279143 | lrm: 1.00 | dt: 6122ms | tok/sec: 85,635 | mfu: 5.8% | epoch: 1 | remaining: 2969s    
step 00016 (1.0%) | loss: 12.038953 | lrm: 1.00 | dt: 6103ms | tok/sec: 85,905 | mfu: 5.8% | epoch: 1 | remaining: 2963s    
step 00017 (1.2%) | loss: 11.825674 | lrm: 1.00 | dt: 6152ms | tok/sec: 85,222 | mfu: 5.8% | epoch: 1 | remaining: 2957s    
step 00018 (1.4%) | loss: 11.657960 | lrm: 1.00 | dt: 6148ms | tok/sec: 85,273 | mfu: 5.8% | epoch: 1 | remaining: 2951s    
step 00019 (1.6%) | loss: 11.432964 | lrm: 1.00 | dt: 6178ms | tok/sec: 84,862 | mfu: 5.7% | epoch: 1 | remaining: 2945s    
step 00020 (1.8%) | loss: 11.229795 | lrm: 1.00 | dt: 6141ms | tok/sec: 85,375 | mfu: 5.8% | epoch: 1 | remaining: 2939s    
step 00021 (2.0%) | loss: 11.048047 | lrm: 1.00 | dt: 6167ms | tok/sec: 85,019 | mfu: 5.8% | epoch: 1 | remaining: 2933s    
step 00022 (2.2%) | loss: 10.869459 | lrm: 1.00 | dt: 6183ms | tok/sec: 84,794 | mfu: 5.7% | epoch: 1 | remaining: 2926s    
step 00023 (2.5%) | loss: 10.698087 | lrm: 1.00 | dt: 6184ms | tok/sec: 84,779 | mfu: 5.7% | epoch: 1 | remaining: 2920s    
step 00024 (2.7%) | loss: 10.517140 | lrm: 1.00 | dt: 6190ms | tok/sec: 84,705 | mfu: 5.7% | epoch: 1 | remaining: 2914s    
step 00025 (2.9%) | loss: 10.303764 | lrm: 1.00 | dt: 6163ms | tok/sec: 85,068 | mfu: 5.8% | epoch: 1 | remaining: 2908s    
step 00026 (3.1%) | loss: 9.971612 | lrm: 1.00 | dt: 6166ms | tok/sec: 85,026 | mfu: 5.8% | epoch: 1 | remaining: 2902s    
step 00027 (3.3%) | loss: 9.547249 | lrm: 1.00 | dt: 6368ms | tok/sec: 82,334 | mfu: 5.6% | epoch: 1 | remaining: 2895s    
step 00028 (3.5%) | loss: 9.155822 | lrm: 1.00 | dt: 6185ms | tok/sec: 84,769 | mfu: 5.7% | epoch: 1 | remaining: 2889s    
step 00029 (3.7%) | loss: 8.806848 | lrm: 1.00 | dt: 6168ms | tok/sec: 85,004 | mfu: 5.8% | epoch: 1 | remaining: 2883s    
step 00030 (3.9%) | loss: 8.501567 | lrm: 1.00 | dt: 6131ms | tok/sec: 85,517 | mfu: 5.8% | epoch: 1 | remaining: 2877s    
step 00031 (4.1%) | loss: 8.227601 | lrm: 1.00 | dt: 6193ms | tok/sec: 84,664 | mfu: 5.7% | epoch: 1 | remaining: 2871s    
step 00032 (4.3%) | loss: 7.976322 | lrm: 1.00 | dt: 6173ms | tok/sec: 84,931 | mfu: 5.7% | epoch: 1 | remaining: 2864s    
step 00033 (4.5%) | loss: 7.754170 | lrm: 1.00 | dt: 6185ms | tok/sec: 84,769 | mfu: 5.7% | epoch: 1 | remaining: 2858s    
step 00034 (4.7%) | loss: 7.552907 | lrm: 1.00 | dt: 6141ms | tok/sec: 85,374 | mfu: 5.8% | epoch: 1 | remaining: 2852s    
step 00035 (4.9%) | loss: 7.379794 | lrm: 1.00 | dt: 6153ms | tok/sec: 85,202 | mfu: 5.8% | epoch: 1 | remaining: 2846s    
step 00036 (5.1%) | loss: 7.210135 | lrm: 1.00 | dt: 6146ms | tok/sec: 85,304 | mfu: 5.8% | epoch: 1 | remaining: 2840s    
step 00037 (5.3%) | loss: 7.047570 | lrm: 1.00 | dt: 6163ms | tok/sec: 85,072 | mfu: 5.8% | epoch: 1 | remaining: 2834s    
step 00038 (5.5%) | loss: 6.905201 | lrm: 1.00 | dt: 6141ms | tok/sec: 85,369 | mfu: 5.8% | epoch: 1 | remaining: 2828s    
step 00039 (5.7%) | loss: 6.766839 | lrm: 1.00 | dt: 6164ms | tok/sec: 85,054 | mfu: 5.8% | epoch: 1 | remaining: 2821s    
step 00040 (6.0%) | loss: 6.993252 | lrm: 1.00 | dt: 6119ms | tok/sec: 85,688 | mfu: 5.8% | epoch: 1 | remaining: 2815s    
step 00041 (6.2%) | loss: 7.181387 | lrm: 1.00 | dt: 6129ms | tok/sec: 85,539 | mfu: 5.8% | epoch: 1 | remaining: 2809s    
step 00042 (6.4%) | loss: 7.357247 | lrm: 1.00 | dt: 6169ms | tok/sec: 84,993 | mfu: 5.8% | epoch: 1 | remaining: 2803s    
step 00043 (6.6%) | loss: 7.510156 | lrm: 1.00 | dt: 6156ms | tok/sec: 85,161 | mfu: 5.8% | epoch: 1 | remaining: 2797s    
step 00044 (6.8%) | loss: 7.633356 | lrm: 1.00 | dt: 6188ms | tok/sec: 84,725 | mfu: 5.7% | epoch: 1 | remaining: 2791s    
step 00045 (7.0%) | loss: 7.748176 | lrm: 1.00 | dt: 6181ms | tok/sec: 84,821 | mfu: 5.7% | epoch: 1 | remaining: 2784s    
step 00046 (7.2%) | loss: 7.854048 | lrm: 1.00 | dt: 6163ms | tok/sec: 85,066 | mfu: 5.8% | epoch: 1 | remaining: 2778s    
step 00047 (7.4%) | loss: 7.948050 | lrm: 1.00 | dt: 6160ms | tok/sec: 85,110 | mfu: 5.8% | epoch: 1 | remaining: 2772s    
step 00048 (7.6%) | loss: 8.021244 | lrm: 1.00 | dt: 6173ms | tok/sec: 84,925 | mfu: 5.7% | epoch: 1 | remaining: 2766s    
step 00049 (7.8%) | loss: 8.090499 | lrm: 1.00 | dt: 6178ms | tok/sec: 84,861 | mfu: 5.7% | epoch: 1 | remaining: 2760s    
step 00050 (8.0%) | loss: 8.144816 | lrm: 1.00 | dt: 6189ms | tok/sec: 84,706 | mfu: 5.7% | epoch: 1 | remaining: 2754s    
step 00051 (8.2%) | loss: 8.192007 | lrm: 1.00 | dt: 6169ms | tok/sec: 84,985 | mfu: 5.8% | epoch: 1 | remaining: 2747s    
step 00052 (8.4%) | loss: 7.900700 | lrm: 1.00 | dt: 6185ms | tok/sec: 84,773 | mfu: 5.7% | epoch: 1 | remaining: 2741s    
step 00053 (8.6%) | loss: 7.645676 | lrm: 1.00 | dt: 6166ms | tok/sec: 85,034 | mfu: 5.8% | epoch: 1 | remaining: 2735s    
step 00054 (8.8%) | loss: 7.404415 | lrm: 1.00 | dt: 6195ms | tok/sec: 84,636 | mfu: 5.7% | epoch: 1 | remaining: 2729s    
step 00055 (9.0%) | loss: 7.189129 | lrm: 1.00 | dt: 6181ms | tok/sec: 84,827 | mfu: 5.7% | epoch: 1 | remaining: 2723s    
step 00056 (9.2%) | loss: 6.996085 | lrm: 1.00 | dt: 6168ms | tok/sec: 85,004 | mfu: 5.8% | epoch: 1 | remaining: 2716s    
step 00057 (9.5%) | loss: 6.812831 | lrm: 1.00 | dt: 6173ms | tok/sec: 84,932 | mfu: 5.7% | epoch: 1 | remaining: 2710s    
step 00058 (9.7%) | loss: 6.652691 | lrm: 1.00 | dt: 6392ms | tok/sec: 82,025 | mfu: 5.6% | epoch: 1 | remaining: 2704s    
step 00059 (9.9%) | loss: 6.504703 | lrm: 1.00 | dt: 6171ms | tok/sec: 84,956 | mfu: 5.8% | epoch: 1 | remaining: 2698s    
step 00060 (10.1%) | loss: 6.381713 | lrm: 1.00 | dt: 6173ms | tok/sec: 84,938 | mfu: 5.8% | epoch: 1 | remaining: 2692s    
step 00061 (10.3%) | loss: 6.269485 | lrm: 1.00 | dt: 6175ms | tok/sec: 84,902 | mfu: 5.7% | epoch: 1 | remaining: 2685s    
step 00062 (10.5%) | loss: 6.155350 | lrm: 1.00 | dt: 6173ms | tok/sec: 84,930 | mfu: 5.7% | epoch: 1 | remaining: 2679s    
step 00063 (10.7%) | loss: 6.061708 | lrm: 1.00 | dt: 6211ms | tok/sec: 84,412 | mfu: 5.7% | epoch: 1 | remaining: 2673s    
step 00064 (10.9%) | loss: 5.967134 | lrm: 1.00 | dt: 6198ms | tok/sec: 84,591 | mfu: 5.7% | epoch: 1 | remaining: 2667s    
step 00065 (11.1%) | loss: 5.886744 | lrm: 1.00 | dt: 6173ms | tok/sec: 84,933 | mfu: 5.7% | epoch: 1 | remaining: 2661s    
step 00066 (11.3%) | loss: 5.811279 | lrm: 1.00 | dt: 6157ms | tok/sec: 85,155 | mfu: 5.8% | epoch: 1 | remaining: 2654s    
step 00067 (11.5%) | loss: 5.732125 | lrm: 1.00 | dt: 6178ms | tok/sec: 84,860 | mfu: 5.7% | epoch: 1 | remaining: 2648s    
step 00068 (11.7%) | loss: 5.663150 | lrm: 1.00 | dt: 6183ms | tok/sec: 84,796 | mfu: 5.7% | epoch: 1 | remaining: 2642s    
step 00069 (11.9%) | loss: 5.604226 | lrm: 1.00 | dt: 6174ms | tok/sec: 84,923 | mfu: 5.7% | epoch: 1 | remaining: 2636s    
step 00070 (12.1%) | loss: 5.534658 | lrm: 1.00 | dt: 6175ms | tok/sec: 84,910 | mfu: 5.7% | epoch: 1 | remaining: 2630s    
step 00071 (12.3%) | loss: 5.484588 | lrm: 1.00 | dt: 6157ms | tok/sec: 85,155 | mfu: 5.8% | epoch: 1 | remaining: 2624s    
